nr;Band;spelling;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
1228;31;extensief;9;3,1;5,9;-5;-0,2;364;0,946639959;1,613112443;0,925824176;1,307820893;W;W;W;W;1040;;3,017033339;
1229;31;bibliografie;12;5,2;5,8;-4,4;-1,4;314;0,944055521;1,589759806;0,923566879;1,295282105;W;W;W;W;32100;;4,506505032;
1230;31;netvormig;9;0,7;5,8;-6,1;1,7;352;0,948430643;1,629823937;0,923295455;1,293788065;W;W;W;W;83;;1,919078092;
1231;31;evengoed;8;-3;-0,4;-1,5;-4,3;353;0,944618936;1,594776928;0,923512748;1,294983913;W;W;W;W;7970;5,69;3,901458321;0,755112266
1232;31;ervandoor;9;2;1,7;-4,2;-2,8;355;0,948910518;1,63438058;0,929577465;1,329136874;W;W;W;W;6130;34,21;3,787460475;1,534153074
1233;31;dienstig;8;-0,4;4,3;-3,5;3,4;337;0,95044587;1,649192226;0,931750742;1,341760725;W;W;W;W;2620;;3,418301291;
1234;31;suspensie;9;3,3;4,6;-2,8;0,5;356;0,948136586;1,627048361;0,924157303;1,298542088;W;W;W;W;495;0,18;2,694605199;-0,744727495
1235;31;skioord;7;1,9;4,5;-3,6;2,1;377;0,94689673;1,61548115;0,925729443;1,307290533;W;W;W;W;999;0,21;2,999565488;-0,677780705
1236;31;ploegarts;9;4;4,6;-1,8;6,1;328;0,944140026;1,590509761;0,920731707;1,279816282;W;W;W;W;80;;1,903089987;
1237;31;uitvragen;9;4;0,5;3,8;-1,2;348;0,946848169;1,615032476;0,925287356;1,304820365;W;W;W;W;270;0,43;2,431363764;-0,366531544
1238;31;stukmaken;9;1,9;-0,5;-2,9;2,2;333;0,946312571;1,610105357;0,924924925;1,302801195;W;W;W;W;512;0,39;2,709269961;-0,408935393
1239;31;toeleven;8;-2,2;3,2;-3,9;-1,1;318;0,946203623;1,609107885;0,924528302;1,300597607;W;W;W;W;551;;2,741151599;
1240;31;radicaliteit;12;2,1;-1,9;0,5;4,4;370;0,947714274;1,623083987;0,924324324;1,299466789;W;W;W;W;1720;;3,235528447;
1241;32;hoogstnodig;11;2,2;3;-1,9;0,5;337;0,943075068;1,581123228;0,922848665;1,291335006;W;W;W;W;132;0,02;2,120573931;-1,698970004
1242;32;boeddhist;9;-0,5;-3,5;0,6;-3;345;0,942991675;1,580394064;0,924637681;1,301204674;W;W;W;W;1710;0,91;3,23299611;-0,040958608
1243;32;hydrofoob;9;1.4;3.1;-2.6;2.4;330;0,937454341;1,53374939;0,912121212;1,234626083;W;W;W;W;124;;2,093421685;
1244;32;bekoeling;9;-3,9;1,5;3,1;-0,2;348;0,941871448;1,570679544;0,91954023;1,273407258;W;W;W;W;159;;2,201397124;
1245;32;omranding;9;-0,6;0,7;4,4;1,9;344;0,94240771;1,575311415;0,921511628;1,284040151;W;W;W;W;266;;2,424881637;
1246;32;afladen;7;-0,3;1,8;-2,7;-1,2;329;0,942896477;1,579562705;0,920972644;1,281118702;W;W;W;W;154;0,14;2,187520721;-0,853871964
1247;32;voorlaten;9;2,4;-2,2;-0,8;-2,2;348;0,939549461;1,55100253;0,91954023;1,273407258;W;W;W;W;9;;0,954242509;
1248;32;aftreding;9;1,1;-4;0,3;-3,5;340;0,942850904;1,579165106;0,923529412;1,295075697;W;W;W;W;204;;2,309630167;
1249;32;verstoteling;12;4,4;-2,3;-3,1;-0,6;331;0,93620803;1,523698918;0,912386707;1,235981994;W;W;W;W;217;0,09;2,336459734;-1,045757491
1250;32;diezelfde;9;2,6;3,3;0,9;-0,7;342;0,943114869;1,58147154;0,923976608;1,297542929;W;W;W;W;23900;5,88;4,378397901;0,769377326
1251;32;kangoeroe;9;4,9;-0,5;-2,1;-3,4;331;0,935329131;1,516702794;0,912386707;1,235981994;W;W;W;W;3870;1,56;3,587710965;0,193124598
1252;32;uitdenken;9;-1,4;0,8;0,3;1,2;340;0,936927011;1,529478043;0,917647059;1,263330058;W;W;W;W;1200;0,07;3,079181246;-1,15490196
1253;32;danskoord;9;4,3;-1,3;-4,5;1,1;357;0,936321124;1,524604587;0,913165266;1,239971341;W;W;W;W;8;;0,903089987;
1254;32;pasgetrouwd;11;-3,1;0,9;-0,9;-1,3;334;0,940632152;1,560102349;0,916167665;1,255543748;W;W;W;W;1210;0,39;3,08278537;-0,408935393
1255;32;omwerpen;8;0;5;-3,9;-1,1;343;0,943511381;1,584952009;0,924198251;1,298768687;W;W;W;W;91;;1,959041392;
1256;32;blubberen;9;-2,5;2,9;-5,5;-2,8;337;0,941063562;1,563764538;0,919881306;1,275236575;W;W;W;W;53;;1,72427587;
1257;32;ongeleerd;9;2,8;-1;5,2;0;331;0,940511866;1,559084981;0,924471299;1,300281426;W;W;W;W;194;;2,28780173;
1258;32;hondenren;9;2,6;4,5;-4;-0,2;326;0,940531803;1,559253495;0,917177914;1,260852587;W;W;W;W;76;;1,880813592;
1259;32;betuttelaar;11;-0,6;5,7;-7;1,9;349;0,934908465;1,513380364;0,914040115;1,244477753;W;W;W;W;5;;0,698970004;
1260;32;watervlak;9;3,5;-3;-2,9;-0,2;382;0,941661895;1,56887868;0,918848168;1,269708506;W;W;W;W;581;;2,764176132;
1261;32;afslijten;9;4;3,1;-1,3;-4,2;322;0,935036912;1,51439307;0,906832298;1,208074432;W;W;W;W;242;0,05;2,383815366;-1,301029996
1262;32;afknagen;8;3,5;5,6;2,9;-2,4;348;0,941660976;1,568870797;0,91954023;1,273407258;W;W;W;W;99;;1,995635195;
1263;32;gespook;7;-5,7;2,7;-5,6;0,5;359;0,942858369;1,579230217;0,927576602;1,317698918;W;W;W;W;201;;2,303196057;
1264;32;peilloos;8;-2,3;-2,1;-6,1;1,6;329;0,935594772;1,518809495;0,911854103;1,233264217;W;W;W;W;1210;0,11;3,08278537;-0,958607315
1265;32;adellijk;8;-3,7;6,3;-2,6;0;315;0,941991553;1,571713997;0,920634921;1,279293699;W;W;W;W;3130;0,3;3,495544338;-0,522878745
1266;32;jachtbuit;9;2,9;6,1;-5,4;-0,9;345;0,936221967;1,523810457;0,913043478;1,239345997;W;W;W;W;315;;2,498310554;
1267;32;voorband;8;-3,7;-6;6;1,1;347;0,935539756;1,518372632;0,916426513;1,256900616;W;W;W;W;285;0,23;2,45484486;-0,638272164
