nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
246;7;conditie;0,756617013;1;;8;-0,5;-0,6;-0,6;0,3;374;0,997909587;2,864185834;0,997326203;1,918242939;W;W;W;W;7780;7,43;3,890979597;0,870988814
244;7;beperkt;0,796374481;1;;7;-0,1;-0,6;-0,6;0,7;374;0,997974876;2,874221466;0,997326203;1,918242939;W;W;W;W;53400;7,34;4,727541257;0,86569606
276;7;opluchting;0,869119531;1;;10;-0,1;-0,8;-0,8;-0,1;319;0,997979464;2,874937775;0,996865204;1,911377291;W;W;W;W;10400;7,52;4,017033339;0,876217841
269;7;samen;0,895184721;1;;5;0,7;0,6;-0,8;-0,8;331;0,997797362;2,847581882;0,993957704;1,870024883;W;W;W;W;169000;370,64;5,227886705;2,568952287
258;7;schurk;0,937245611;1;;6;-0,2;-0,7;0,4;0,5;349;0,997753084;2,841241118;0,994269341;1,874306064;W;W;W;W;3800;11,5;3,579783597;1,06069784
254;7;grondgebied;0,942869623;1;;11;-0,5;-0,6;-0,6;0,3;345;0,997941151;2,869001474;0,997101449;1,91488441;W;W;W;W;12100;3,96;4,08278537;0,597695186
313;8;verwoesting;0,00960237;1;;11;0,3;-0,8;-0,8;-0,5;335;0,997542004;2,812487573;0,994029851;1,871012968;W;W;W;W;4770;2,2;3,678518379;0,342422681
314;8;schaal;0,045311829;1;;6;-0,6;-0,8;-0,8;0,6;329;0,997527265;2,810564304;0,996960486;1,912788953;W;W;W;W;31400;9,74;4,496929648;0,988558957
304;8;ontnemen;0,081676286;1;;8;0,2;-0,8;0,1;0,4;340;0,997350533;2,788276187;0,994117647;1,87221785;W;W;W;W;3600;2,81;3,556302501;0,44870632
303;8;overbrengen;0,112735865;1;;11;0,3;-0,7;0,3;0,3;346;0,997358547;2,789257361;0,994219653;1,873621163;W;W;W;W;5430;3,45;3,73479983;0,537819095
